Kết quả phân cụm với tên:
                 Player  Cluster Cluster_Name
           Adam Webster        1      Tiền vệ
          Danny Welbeck        1      Tiền vệ
            Timo Werner        1      Tiền vệ
           Adam Wharton        1      Tiền vệ
              Ben White        2       Hậu vệ
          Neco Williams        2       Hậu vệ
                Willian        0     Tiền đạo
            Joe Willock        1      Tiền vệ
          Callum Wilson        1      Tiền vệ
           Harry Wilson        0     Tiền đạo
            Yoane Wissa        0     Tiền đạo
             Chris Wood        0     Tiền đạo
         Cauley Woodrow        1      Tiền vệ
            Joe Worrall        1      Tiền vệ
        Yehor Yarmoliuk        1      Tiền vệ
             Ryan Yates        2       Hậu vệ
           Ashley Young        2       Hậu vệ
         Illia Zabarnyi        2       Hậu vệ
         Nicolò Zaniolo        1      Tiền vệ
          Anass Zaroury        1      Tiền vệ
    Oleksandr Zinchenko        2       Hậu vệ
             Kurt Zouma        2       Hậu vệ
          Edson Álvarez        2       Hậu vệ
         Julián Álvarez        0     Tiền đạo
        Odsonne Édouard        1      Tiền vệ
        Martin Ødegaard        0     Tiền đạo
              Enes Ünal        1      Tiền vệ
